name,house,status,price,size_ml,acquired,rating,notes_raw,description,all_natural,thoughts
Moth,Zoologist,sampled,,,,,"Top Notes: Black Pepper, Cinnamon, Clove, Cumin, Lemon, Nutmeg, Saffron Heart Notes: Heliotrope, Iris, Jasmine, Mimosa, Muguet, Rose Base Notes: Ambergris*, Honey*, Resins, Guaiac Wood, Musk*, Nagarmotha, Oud, Patchouli, Smoke, Vetiver",,,
Squid,Zoologist,sampled,,,,,"Top Notes: Pink Pepper, Solar Salicylate, Incense Heart Notes: Black Ink Accord, Salty Accord, Opoponax Base Notes: Ambergris*, Benzoin, Musk*",,,"Complex, grounded marine scent. Aquatic but not insubstantial. Strong ink note but dry down is a nice vanilla/benzoine note."
Cognoscenti,Warm Carrot,sampled,,,,,"Carrot seed, ylang ylang, lavender, vetiver, labdanum, amber accord, benzoin, vanilla.",,,I want to like this because I love carrot but theres just something too resinous about the scent. Maybe too much amber or maybe is the labdanum. Yet I still occasionally think about this one. Keeping it around for awhile to come back to.
Orange Violet Honey,,sampled,,,,,,,,
Wahini,,sampled,,,,,,,,
Lilith's Parlor,Black Bacarra,sampled,,,,,,,,Beautiful dry down but I felt like I was wearing someone else's perfume all day. I think it was the Narcissus flower.
Babycat,YSL,sampled,295.0,125.0,,,"Top Notes: Pink Pepper Essence, Black Pepper Essence, Elemi Essence Heart Notes: Olibanul Essence and Resin – Saffron Accord Base Note: Vanilla, Cedarwood, Suede Accord",,,"Really nice leather and subtle, complex vanilla. I get the saffron and the saffron leather combo reminds me a lot of the Aether Arts perfume."
Fracas,,sampled,,,,,,,,
They Fucking Forgot My Birthday,Sixteen92,sold,20.0,,,,"Wedding cake, orange blossom honey, burned sugar, soft vanilla musk, unlit birthday candles, would you stop feeling sorry for yourself?",,,Nice wax note but cloyingly sweet
Clean Skin Reserve,Clean,sold,,,,,,,,Boring mall scent
Supercell,Sixteen92,sold,,,,,"Electric ozone, sharp green grasses, asphalt / Petrichor, windblown hay, damp florals / Crushed stems, soaked earth, cracked branches",,,Too atmospheric for my current tastes
Drunk on the Moon,Providence Perfume,sold,,,,,"Tuberose, rose, nutmeg, opoponax, peach, sandalwood.",,,Smells exactly like Hanya Toi Plum
Selperniku,January Scent Project,sold,,,,,,,,The salty/butter note just got too sour/vomit on me
Black Rock City,Aether Arts,sold,,,,,,,,Masculine and forgettable
Ani,Nishane,sold,,,,,,,,Too much tonka? Overly sweet and a little rubbery
Taro Milk Tea,Stereoplasm,sold,,,,,,,,Smelled like straight generic vanilla oil.
Elephant,Zoologist,sold,,,,,,,,
Fig My Love,The Zoo,sold,,,,,,,,Too sharp and green. I wanted more fig.
Body Made Luminous,Alexi Karl,sold,,,,,,,,
Byredo,Blanche,sold,,,,,"Top: Aldehyde, Pink Pepper, White Rose Heart: Neroli, Peony, Violet Base: Blonde Woods, Musk, Sandalwood",,,laundry softener
Garden Hideaway,Stereoplasm,sold,,1.8 ml,,,,,,Too green
Javinica,Olympic Orchids,sold,,1ml,,,,,,
Salted Green Mango,Strangers Perfumerie,sold,,1ml,,,,,,"Smelled like dirty socks, bad salt, just gross"
Cafe V,Olympic Orchids,sold,1.5,~.25 ml left,,,,,,
Elektra,Olympic Orchids,sold,1.5,~.25 ml left,,,,,,
Dinudisit,January Scent Project,sold,4.0,2ml,,,,,,
Artemesia,Penhaglion,sold,4.0,.7ml,,,,,,
Le Sillage Blanc,Dusita,sold,4.0,.7ml,,,,,,
Lipstick Fever,JHAG,sold,3.0,.7ml,,,,,,
Baque,Slumberhouse,sold,,1ml,,,,,,
Dev 1 Foreplay,Olympic Orchids,sold,,1ml,,,,,,
Pachuli Kozha,Nishane,sold,,.7ml,,,,,,
Blanche,Bryedo,sold,,.7ml,,,,,,
Frost,St. Clair Scents,sold,3.0,.5ml,,,,,,
Vientiane,Providence Perfume Company,sold,5.0,2ml,,,,,,
The 7% Solution,En Voyage,sold,4.0,1.75ml,,,,,,
Cimabue,DSH Perfumes,sold,4.0,1.75ml,,,,,,
Mandala,Masque Milano,sold,freebie,~10 sprays left,,,,,,
Decomposing Roses for a Decomposing Romance,Death & Floral,sold,,,,,,,,
POW,,sold,,,,,,,,
The Wolf Only Needs Luck to Find You Once,,sold,,,,,,,,
Swamp Elixer,,sold,,,,,,,,
World Famous for 15 Minutes,,sold,,,,,,,,
Pop Flowers,,sold,,,,,,,,
The Same Way I Am In Love with The Moon,,sold,,,,,,,,
Mein Herr Marquis,Sixteen92,sold,,10ml rollerball,,,,,,
Burner Perfume No 1 Black Rock City,Aether Arts,sold,,,,,,,,
Sticky Fingers,Francesca Bianche,sold,freebie,1 spray/sniffer,,,,,,
The Dark Side,Francesca Bianche,sold,freebie,a few sprays,,,,,,
Orphir,Blackbrid,sold,,~75% of FS,,,,,,
Mardi Gras,Olympic Orchids,sold,,1ml,,,,,,
Voyage 2019,Hiram Green,sold,,1ml,,,,,,
Pearfecto,Gallagher,sold,,2ml,,,,,,
Peach Blossom Violet & Vanilla,Dame,sold,,4ml,,,,,,
Knightly,Poesie,sold,,1ml,,,,,,
Supercell,Sixteen92,sold,,7ml? spray,,,,,,
Selperniku,January Scent Project,sold,,1ml,,,,,,
Las Flores,Provision,sold,freebie,a few sprays,,,,,,
Drunk on the Moon,Providence Perfume,sold,,.75ml,,,,,,
Olympic Amber,Olympic Orchids,sold,,.5ml?,,,,,,
Versailles,Poesie,sold,,1ml,,,,,,
Perfect Veil,Sarah Horowitz Perfume,sold,,1.5ml,,,,,,
Sonnet XVII,Olympic Orchids,sold,,1ml,,,,,,
Strawberry Fields,Poesie,sold,,1ml,,,,,,
Francesca Bianche,Sex and the Sea Neroli,sold,,,,,,,,Maybe I hate neroli?
FZOTIC,Ummagumma,sold,,,,,,,,
Poems One Through Twelve,Universal Flowering,sold,,,,,,,,"Has a very ""old perfume"" note under it that kind of ruined it for me. I liked the slight smell of vinyl raincoat, but not a keeper."
Hermes eau d'orange verte,,to_try,,,,,,,,
Molecule 01,,to_try,,,,,,,,
Mojave Ghost,,to_try,,,,,,,,
Santal 33,,to_try,,,,,,,,
Room 237,,to_try,,,,,,,,
Monserrat,,to_try,,,,,,,,
Unsettled,,to_try,,,,,,,,
Midnight Tryst,,to_try,,,,,,,,
Nefertiti,,to_try,,,,,,,,
treachery,,to_try,,,,,,,,
Tubereuse Organique,,to_try,,,,,,,,
BOOK _ Scent and Subversion Barbara Hermann,,to_try,,,,,,,,
